Date,Ticker,Action
1994-06-01,MSFT,added_ticker
1994-03-01,KEY,added_ticker
1994-03-01,UNM,added_ticker
1994-01-01,EMN,added_ticker
1993-12-01,CSCO,added_ticker
1993-10-01,COST,added_ticker
1992-10-01,IPG,added_ticker
1992-07-01,LIN,added_ticker
1992-01-02,AMGN,added_ticker
1991-09-19,AEE,added_ticker
1991-05-01,MRO,added_ticker
1989-12-01,ADSK,added_ticker
1989-08-31,ORCL,added_ticker
1989-04-30,NWL,added_ticker
1989-04-30,GL,added_ticker
1989-01-31,ECL,added_ticker
1988-11-30,NKE,added_ticker
1988-05-31,STI,added_ticker
1988-05-31,C,added_ticker
1988-04-30,PNC,added_ticker
1988-03-31,HD,added_ticker
1987-12-31,AVY,added_ticker
1987-08-31,MMC,added_ticker
1986-12-31,SYY,added_ticker
1986-11-30,HRB,added_ticker
1986-10-31,MDT,added_ticker
1986-08-31,GPS,added_ticker
1986-08-31,JWN,added_ticker
1986-02-28,ITW,added_ticker
1985-11-30,PH,added_ticker
1985-10-31,DOV,added_ticker
1985-09-30,TJX,added_ticker
1985-07-31,CNP,added_ticker
1985-06-30,NOC,added_ticker
1985-05-31,PKI,added_ticker
1985-04-30,NUE,added_ticker
1985-04-30,APD,added_ticker
1984-10-31,BLL,added_ticker
1984-09-30,HAS,added_ticker
1984-07-31,LMT,added_ticker
1984-05-31,HES,added_ticker
1984-04-30,PHM,added_ticker
1984-02-29,LOW,added_ticker
1983-11-30,T,added_ticker
1983-11-30,VZ,added_ticker
1983-09-30,LB,added_ticker
1983-08-31,CAG,added_ticker
1982-12-31,OXY,added_ticker
1982-11-30,AAPL,added_ticker
1982-10-31,BF.B,added_ticker
1982-09-30,SWK,added_ticker
1982-09-30,SNA,added_ticker
1982-08-31,WMT,added_ticker
1981-07-29,ADM,added_ticker
1981-06-30,GWW,added_ticker
1981-06-30,MAS,added_ticker
1981-03-31,ADP,added_ticker
1980-12-31,PCAR,added_ticker
1980-12-31,FDX,added_ticker
1980-03-31,AIG,added_ticker
1979-12-31,WBA,added_ticker
1979-06-30,VFC,added_ticker
1978-12-31,TXT,added_ticker
1976-12-31,INTC,added_ticker
1976-12-31,TGT,added_ticker
1976-06-30,DIS,added_ticker
1976-06-30,TAP,added_ticker
1976-06-30,DUK,added_ticker
1976-06-30,CI,added_ticker
1976-06-30,NEE,added_ticker
1976-06-30,AXP,added_ticker
1976-06-30,WFC,added_ticker
1976-06-30,LNC,added_ticker
1976-06-30,BAC,added_ticker
1976-03-31,IFF,added_ticker
1975-06-30,JPM,added_ticker
1975-03-31,WMB,added_ticker
1974-12-31,HPQ,added_ticker
1973-12-31,GPC,added_ticker
1973-06-30,JNJ,added_ticker
1972-09-30,BAX,added_ticker
1972-09-30,BDX,added_ticker
1970-12-31,LLY,added_ticker
1970-06-30,MCD,added_ticker
1969-06-30,NEM,added_ticker
1969-03-31,CLX,added_ticker
1969-03-31,GIS,added_ticker
1967-09-30,CSX,added_ticker
1965-03-31,CMI,added_ticker
1965-03-31,SLB,added_ticker
1965-03-31,EMR,added_ticker
1964-06-30,SHW,added_ticker
1964-03-31,HON,added_ticker
1964-03-31,ABT,added_ticker
1957-01-01,ES,added_ticker
1957-01-01,HIG,added_ticker
1957-01-01,TROW,added_ticker
1957-01-01,NI,added_ticker
1957-01-01,EXC,added_ticker
1957-01-01,SO,added_ticker
1957-01-01,MET,added_ticker
1957-01-01,CVX,added_ticker
1957-01-01,STT,added_ticker
1957-01-01,TXN,added_ticker
1957-01-01,TMO,added_ticker
1957-01-01,TSN,added_ticker
1957-01-01,UNP,added_ticker
1957-01-01,UTX,added_ticker
1957-01-01,EBAY,added_ticker
1957-01-01,MCO,added_ticker
1957-01-01,PG,added_ticker
1957-01-01,WY,added_ticker
1957-01-01,PPG,added_ticker
1957-01-01,PEP,added_ticker
1957-01-01,IP,added_ticker
1957-01-01,K,added_ticker
1957-01-01,KMB,added_ticker
1957-01-01,KR,added_ticker
1957-01-01,LEG,added_ticker
1957-01-01,L,added_ticker
1957-01-01,MKC,added_ticker
1957-01-01,SPGI,added_ticker
1957-01-01,CVS,added_ticker
1957-01-01,COP,added_ticker
1957-01-01,ETR,added_ticker
1957-01-01,MMM,added_ticker
1957-01-01,MSI,added_ticker
1957-01-01,XEL,added_ticker
1957-01-01,NTRS,added_ticker
1957-01-01,PFE,added_ticker
1957-01-01,WHR,added_ticker
1957-01-01,XRX,added_ticker
1957-01-01,MAR,added_ticker
1957-01-01,MO,added_ticker
1957-01-01,PPL,added_ticker
1957-01-01,PNW,added_ticker
1957-01-01,PEG,added_ticker
1957-01-01,HOG,added_ticker
1957-01-01,M,added_ticker
1957-01-01,QCOM,added_ticker
1957-01-01,VNO,added_ticker
1957-01-01,WM,added_ticker
1957-01-01,EIX,added_ticker
1957-01-01,SBUX,added_ticker
1957-01-01,MS,added_ticker
1957-01-01,KSS,added_ticker
1957-01-01,FCX,added_ticker
1957-01-01,DHI,added_ticker
1957-01-01,MCK,added_ticker
